"Llama3 implemented from scratch","https://github.com/naklecha/llama3-from-scratch"
"github.com/naklecha","from?site=github.com/naklecha"
"Coding My Handwriting","https://www.amygoodchild.com/blog/cursive-handwriting-in-javascript"
"amygoodchild.com","from?site=amygoodchild.com"
"Operation CHARM: Car repair manuals for everyone","https://charm.li/"
"charm.li","from?site=charm.li"
"Beating Jeff's 3.14 Ghz Raspberry Pi 5","https://jonatron.github.io/randomstuff/pivolt/"
"jonatron.github.io","from?site=jonatron.github.io"
"Unprojecting Text with Ellipses (2016)","https://mzucker.github.io/2016/10/11/unprojecting-text-with-ellipses.html"
"mzucker.github.io","from?site=mzucker.github.io"
